source_id,title,url_or_location,source_class,publisher_or_owner,published_date,accessed_date,independence_notes,reliability_notes,key_claims_covered
S1,AG-UI Overview - Agent User Interaction Protocol,https://docs.ag-ui.com/introduction,primary official docs,AG-UI Protocol,unknown,2026-03-15,Independent from humanctl,"Primary spec/docs for agent-user interaction primitives; product-facing but technical",C3|C4|C15
S2,GitHub - ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,primary open-source repo,AG-UI Protocol,ongoing,2026-03-15,Independent from humanctl,"Useful as corroboration that AG-UI is an actual open project, but docs are stronger for claims",C3|C4
S3,Microsoft Agent 365: The control plane for AI agents,https://www.microsoft.com/en-us/microsoft-365/blog/2025/11/18/microsoft-agent-365-the-control-plane-for-ai-agents/,first-party product blog,Microsoft,2025-11-18,2026-03-15,Independent from humanctl but self-reported by Microsoft,"Good for category language and claimed capabilities; not neutral",C1|C2
S4,The Control Plane for AI Agents,https://www.fiddler.ai/control-plane,first-party product page,Fiddler AI,unknown,2026-03-15,Independent from humanctl but self-reported by vendor,"Good for category convergence on telemetry/eval/governance framing; marketing language",C1|C2
S5,AI Agent Observability, Tracing & Evaluation with Langfuse,https://langfuse.com/blog/2024-07-ai-agent-observability-with-langfuse,first-party product blog,Langfuse,2026-02-20,2026-03-15,Independent from humanctl but self-reported by vendor,"Useful category evidence for observability/eval stack",C1|C2
S6,Langfuse Observability Overview,https://langfuse.com/docs/observability/overview,primary official docs,Langfuse,ongoing,2026-03-15,Independent from humanctl,"Technical docs describing traces, sessions, observations, and application tracing",C1|C2
S7,LangSmith Observability,https://www.langchain.com/langsmith/observability,first-party product page,LangChain,unknown,2026-03-15,Independent from humanctl but self-reported by vendor,"Useful for category framing around tracing/monitoring/insights",C1|C2
S8,LangSmith Observability Docs,https://docs.langchain.com/langsmith/observability,primary official docs,LangChain,ongoing,2026-03-15,Independent from humanctl,"Technical docs for traces, threads, dashboards, alerts, and feedback",C1|C2
S9,Guidelines for Human-AI Interaction,https://www.microsoft.com/en-us/research/project/guidelines-for-human-ai-interaction/,primary research summary,Microsoft Research,2019-06-04,2026-03-15,Independent from humanctl,"Official summary of validated guidance; lighter than paper but authoritative",C8
S10,Guidelines for Human-AI Interaction paper PDF,https://www.advancedleadership.harvard.edu/s/Glassman_Reading-1_Guidelines-for-Human-AI-Interaction-camera-ready.pdf,primary research paper,CHI 2019 authors,2019,2026-03-15,Independent from humanctl,"Peer-reviewed paper with detailed guideline taxonomy and examples",C8
S11,The Cost of Interrupted Work: More Speed and Stress,https://www.ics.uci.edu/~gmark/chi08-mark.pdf,primary research paper,CHI 2008 authors,2008,2026-03-15,Independent from humanctl,"Peer-reviewed interruption study directly relevant to escalation cost and attention management",C7
S12,Local-first software: You own your data, in spite of the cloud,https://www.inkandswitch.com/essay/local-first/,primary essay / research synthesis,Ink & Switch,2019,2026-03-15,Independent from humanctl,"Canonical local-first framing; not a peer-reviewed paper but highly influential and explicit",C9|C13
S13,Inbox - Linear Docs,https://linear.app/docs/inbox,primary official docs,Linear,ongoing,2026-03-15,Independent from humanctl,"Useful reference for inbox state, filters, reminders, and resurfacing patterns",C11
S14,Triage - Linear Docs,https://linear.app/docs/triage,primary official docs,Linear,ongoing,2026-03-15,Independent from humanctl,"Useful reference for pre-workflow review and prioritization queue patterns",C11
S15,Magentic-UI, an experimental human-centered web agent,https://www.microsoft.com/en-us/research/blog/magentic-ui-an-experimental-human-centered-web-agent/,primary research blog,Microsoft Research,2025-05-19,2026-03-15,Independent from humanctl,"Good high-level summary of co-planning, co-tasking, and action guard concepts",C5|C12|C15
S16,GitHub - microsoft/magentic-ui,https://github.com/microsoft/magentic-ui,primary open-source repo,Microsoft,ongoing,2026-03-15,Independent from humanctl,"Useful repo-level description of product behavior and monitoring support",C5|C10
S17,Magentic-UI: Towards Human-in-the-loop Agentic Systems,https://www.microsoft.com/en-us/research/wp-content/uploads/2025/07/magentic-ui-report.pdf,primary research report,Microsoft Research,2025-07,2026-03-15,Independent from humanctl,"Most detailed source for interrupt policy, co-planning, co-tasking, approvals, and monitoring behavior",C5|C6|C10|C12|C15
S18,Tell me when: Building agents that can wait, monitor, and act,https://www.microsoft.com/en-us/research/blog/tell-me-when-building-agents-that-can-wait-monitor-and-act/,primary research blog,Microsoft Research,2025-10-21,2026-03-15,Independent from humanctl,"Strong evidence for long-running wait/watch tasks, polling tradeoffs, and context overflow",C10|C15
S19,GitHub Copilot Workspace: Welcome to the Copilot-native developer environment,https://github.blog/news-insights/product-news/github-copilot-workspace/,first-party product announcement,GitHub,2024-04-29,2026-03-15,Independent from humanctl but self-reported by GitHub,"Useful for editable staged workflow patterns in a coding context",C12|C15
S20,5 tips and tricks when using GitHub Copilot Workspace,https://github.blog/ai-and-ml/github-copilot/5-tips-and-tricks-when-using-github-copilot-workspace/,first-party product blog,GitHub,2024-12-18,2026-03-15,Independent from humanctl but self-reported by GitHub,"Useful corroboration that Copilot Workspace is intended to be steered and edited at every step",C12|C15
