claim_id,claim_text,topic,claimant,source_ids,supporting_source_ids,contradicting_source_ids,status,confidence,notes
C1,"The adjacent market is converging on a 'control plane' / observability / governance framing for agent systems.",category,analyst,S3|S4|S5|S7,S3|S4|S5|S7,,supported,0.92,"Strongly supported by multiple first-party products in adjacent categories."
C2,"Those adjacent control-plane products mostly optimize for agent telemetry, evaluation, governance, and fleet oversight rather than fine-grained human attention management.",category,analyst,S3|S4|S5|S6|S7|S8,S3|S4|S5|S6|S7|S8,,supported,0.88,"Inference from product surfaces and docs; they are adjacent but not direct substitutes for humanctl's core loop."
C3,"User-facing agent systems need primitives such as shared state, interrupts, steering, streamed tool output, and multimodal attachments.",agent UX,AG-UI,S1|S2,S1|S2,,supported,0.93,"Directly supported by AG-UI docs."
C4,"Agent-user products break the simple request/response model because agents are long-running, multi-turn, multimodal, and nondeterministic.",agent UX,AG-UI,S1,S1,,supported,0.94,"Direct statement from AG-UI documentation."
C5,"Human-centered agent interfaces benefit from co-planning, co-tasking, action approvals, and memory/plan learning rather than opaque autonomy.",human UX,analyst,S15|S16|S17,S15|S16|S17,,supported,0.9,"Strongly supported by Magentic-UI repo, blog, and report."
C6,"The agent should interrupt the human as little as possible and only when necessary, especially for clarifying questions or help after failures.",human UX,analyst,S17,S17,,supported,0.84,"The exact policy is from Magentic-UI's design description; inference is that this should generalize to humanctl."
C7,"Interruptions can preserve apparent speed and quality while still increasing stress, frustration, time pressure, and effort.",human attention,CHI research,S11,S11,,supported,0.95,"Strong peer-reviewed evidence relevant to escalation design."
C8,"Good human-AI UX should make capabilities legible, show relevant context, support efficient dismissal and correction, explain behavior, learn cautiously, and allow granular feedback.",human UX,Microsoft Research,S9|S10,S9|S10,,supported,0.91,"Supported by the Microsoft HAI guidelines summary and paper."
C9,"A local-first product should treat the local copy as the primary source of truth and treat servers as secondary synchronization aids rather than the authority.",architecture,Ink & Switch,S12,S12,,supported,0.95,"Core local-first principle."
C10,"Long-running monitoring tasks create polling and context-overflow problems, so state must be persisted and resumable across long time windows.",architecture,analyst,S16|S17|S18,S17|S18,,supported,0.89,"Strong support from Tell me When and Magentic-UI materials."
C11,"Inbox and triage patterns are useful because they separate incoming attention items from the main workflow and support filtering, reminders, and review before commitment.",workflow UX,analyst,S13|S14,S13|S14,,supported,0.87,"Directly supported by Linear's docs; application to humanctl is an inference."
C12,"Editable staged workflows are a better fit for human steering than opaque chat-only loops because humans can adjust specs, plans, and implementation directly.",mixed-initiative UX,analyst,S15|S17|S19|S20,S15|S17|S19|S20,,supported,0.86,"Supported across Magentic-UI and Copilot Workspace patterns."
C13,"The hosted `humanctl.com` experience should be marketing plus sample/demo data; the real product runtime should be local-first and file-backed.",product architecture,analyst,S12|S17|S18,S12|S18,,supported,0.82,"Mostly analytical inference from local-first principles and long-running state needs."
C14,"`humanctl` is best understood as a local mixed-initiative coordination layer for human-in-the-loop agent work, not as a generic artifact canvas or an observability dashboard.",product definition,analyst,S1|S11|S12|S15|S17|S18|S19|S20,S1|S11|S12|S15|S17|S18|S19|S20,,supported,0.83,"This is the central synthesis claim."
C15,"V1 should center on asks, watches, artifacts, inbox/focus state, and resumable events, while excluding general infinite-canvas freedom, full observability, and cloud-first state.",v1 scope,analyst,S1|S11|S12|S13|S14|S17|S18|S19|S20,S1|S11|S12|S13|S14|S17|S18|S19|S20,,supported,0.8,"A synthesis claim translating evidence into product scope."
